Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,10u/1206,C13585
"C10, C11, C12, C13, C4, C6, C8, C9",0805,8,22u,C45783
C3,0603,1,22n,C21122
C5,0603,1,100n,C14663
C7,0603,1,100p,C1790
D1,D_SMA,1,B340A,C3018525
D2,0805,1,LED,C34499
"H1, H2",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole_Pad,
"IC11, IC12, IC13, IC17, IC18, IC19, IC23, IC24, IC25, IC29, IC30, IC31, IC5, IC6, IC7",SOIC127P600X175-8N,15,SI4174DY-T1-GE3,C496589
"J1, J3, J4, J5, J6, J7","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",6,Conn_01x04,C192769
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
L1,L_Chilisin_BMRA00040420,1,10u/C2921170,C2921170
PS1,SOT95P285X140-6N,1,AP5100WG-7,C114647
"R1, R5, R8",0603,3,2k,C22975
"R2, R4, R6, R7",0603,4,10k,C25804
SW2,SW_PUSH_6mm_H8mm,1,SW_SPST,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U2, U3, U4",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC14,C5605
U5,ESP32-WROOM-32,1,ESP32-WROOM-32,
